Event,Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Feature9,Probability
E2214,6.74,4.48,8.32,9.29,1.97,3.15,2.19,6.62,2.69,0.00031147
E2215,7.27,4.4,1.8,7.15,3.67,1.61,1.0,2.78,3.08,0.00018424
E2216,8.31,7.16,6.47,4.55,5.36,4.52,8.23,4.01,2.42,0.00018088
E2217,8.22,0.68,5.28,5.67,4.35,4.05,5.18,9.72,2.96,1.1e-07
E2218,0.29,5.81,2.12,6.05,4.82,8.26,4.21,3.66,2.3,0.00017469
E2219,0.08,7.68,1.31,4.08,6.54,8.55,2.96,6.24,1.46,0.00036169
E2220,2.53,2.89,8.99,1.92,0.01,4.34,9.41,4.05,3.02,0.00032731
E2221,4.12,4.93,5.41,4.53,0.25,6.63,3.72,5.27,0.16,0.00038135
E2222,5.11,1.14,7.65,2.07,6.45,6.69,4.03,7.16,9.7,0.00030043
E2223,5.25,8.85,8.69,9.81,4.87,4.8,9.72,3.09,7.91,0.00026683
E2224,1.17,2.62,0.05,3.5,0.85,2.84,6.92,4.74,8.88,0.00025205
E2225,3.13,3.11,0.81,1.04,9.37,2.16,2.65,3.03,9.45,0.00032235
E2226,8.43,6.29,7.47,1.25,9.33,1.92,2.58,7.65,4.64,0.00021163
E2227,1.9,4.06,1.53,6.68,0.07,2.17,2.39,7.1,5.55,0.00035404
E2228,1.27,9.93,0.5,1.24,6.08,1.9,1.24,5.86,4.37,5.69e-05
E2229,0.98,5.36,5.15,9.03,1.2,1.78,6.95,9.4,1.0,0.00034716
E2230,3.85,0.32,0.32,1.23,9.33,8.19,0.67,8.78,3.51,9.172e-05
E2231,1.77,3.64,8.06,6.06,9.69,5.83,6.26,4.68,9.89,0.00037951
E2232,1.17,4.5,8.33,8.73,9.49,0.12,5.55,9.71,7.94,0.00029374
E2233,1.47,5.31,6.78,3.53,6.39,5.19,6.42,8.56,5.16,0.00010892
E2234,1.45,7.87,0.14,9.07,6.57,2.07,6.2,0.65,1.67,0.00030283
E2235,5.97,2.79,4.39,6.66,9.44,2.04,4.92,7.62,7.52,0.00022519
E2236,6.89,9.56,4.09,3.42,9.83,1.25,0.29,4.96,5.07,0.00033406
E2237,6.02,6.32,8.62,5.67,4.88,8.3,6.05,7.8,6.43,0.00023974
E2238,1.96,3.4,7.96,4.84,7.63,2.26,4.03,4.32,5.26,0.00025453
E2239,5.44,3.03,5.61,0.62,8.91,2.8,4.27,6.28,3.7,0.00025965
E2240,0.69,8.39,6.77,7.35,4.26,7.55,0.66,9.75,7.12,0.00032807
E2241,8.05,2.04,1.12,8.64,9.78,4.3,3.47,8.8,1.46,0.00018125
E2242,2.47,2.81,3.1,9.59,8.08,6.57,1.93,2.47,0.74,0.00023906
E2243,2.07,8.37,6.86,2.71,4.44,0.3,9.66,5.97,7.99,0.00025512
E2244,8.9,9.68,6.91,4.82,3.64,8.54,3.84,3.6,1.24,3.068e-05
E2245,4.27,6.92,0.52,9.8,3.46,2.28,1.81,8.48,5.42,0.00024548
E2246,9.05,5.76,7.07,6.54,0.85,5.53,5.8,2.58,5.52,0.0001455
E2247,2.83,2.81,6.89,5.23,8.51,2.23,1.82,9.51,1.75,0.00025566
E2248,3.57,0.57,2.76,6.58,0.87,4.5,5.01,7.4,4.35,0.00014118
E2249,7.57,8.57,0.23,2.44,1.49,4.1,0.11,4.7,9.36,3.43e-05
E2250,2.19,7.31,7.67,3.35,6.38,6.82,3.16,9.24,7.55,0.0003769
E2251,2.49,8.97,7.49,8.72,9.13,1.24,4.59,8.84,4.05,0.00018486
E2252,8.93,1.44,5.09,6.97,2.77,2.09,4.73,5.87,3.78,0.00016421
E2253,0.59,8.27,9.01,4.38,6.97,3.53,9.24,3.52,6.42,6.003e-05
E2254,6.8,4.22,6.78,1.46,7.45,1.44,3.35,6.6,7.11,0.00025415
E2255,8.86,6.92,1.64,3.42,3.59,4.12,5.49,4.5,0.9,2.712e-05
E2256,2.85,1.45,6.62,6.37,1.41,3.59,8.98,2.44,5.35,0.00013176
E2257,8.2,0.25,4.98,4.25,5.2,2.62,7.99,6.75,0.78,0.00038698
E2258,3.4,0.73,6.09,4.28,2.41,6.71,2.97,3.39,7.79,0.00035437
E2259,3.94,6.46,7.69,6.79,7.49,3.89,8.97,5.67,3.39,0.0001153
E2260,5.96,2.09,2.8,1.48,8.99,5.53,9.28,1.27,8.2,0.00021319
E2261,8.37,9.28,3.13,6.26,4.51,6.06,0.54,8.61,2.57,0.00028975
E2262,9.33,5.98,5.79,4.17,4.62,2.27,6.29,7.64,1.35,0.00027043
E2263,6.06,8.25,2.84,6.55,1.19,7.9,8.18,6.41,6.4,5.615e-05
E2264,7.79,6.32,8.18,7.18,9.18,6.01,0.88,8.4,1.34,8.3e-06
E2265,1.29,7.69,6.0,1.15,2.27,0.44,9.74,0.59,7.36,0.00017274
E2266,7.97,5.48,8.27,7.57,9.13,8.94,6.35,7.32,3.28,7.03e-06
E2267,0.77,1.6,2.58,3.29,4.28,0.47,0.36,9.55,9.96,6.531e-05
E2268,2.25,8.97,9.2,2.61,0.59,4.58,1.27,6.43,8.43,0.0003943
E2269,4.59,1.14,4.03,7.73,1.96,3.2,7.32,2.87,0.79,0.00032796
E2270,4.75,1.76,3.07,6.63,8.14,4.03,2.25,8.39,9.55,0.00010972
E2271,9.97,2.1,7.09,0.97,3.71,1.27,1.88,5.09,7.68,0.00024708
E2272,4.67,9.12,6.02,7.19,5.75,2.09,2.48,3.3,7.03,8.064e-05
E2273,3.31,3.53,3.41,7.91,2.85,8.5,7.47,7.88,1.05,0.00032202
E2274,8.76,7.79,8.05,9.1,3.18,5.48,4.18,3.1,1.41,0.00019236
E2275,9.47,6.15,8.72,3.12,1.54,9.76,3.17,4.19,2.29,0.0002362
E2276,8.61,9.21,8.5,8.49,2.71,4.63,6.71,7.85,7.04,0.00022537
E2277,4.34,0.65,2.92,2.4,8.83,0.38,3.86,3.15,1.82,0.00022006
E2278,5.52,8.0,5.19,2.87,5.39,5.0,7.09,4.67,3.35,0.00030149
E2279,5.25,8.39,5.35,9.58,7.16,6.5,0.55,9.15,7.73,0.00016889
E2280,4.15,6.69,7.97,5.25,3.55,5.45,5.35,5.13,2.82,0.00037922
E2281,3.24,2.34,1.79,2.58,6.03,1.48,3.16,8.87,7.49,0.00032443
E2282,7.82,1.31,9.78,1.32,9.64,0.95,1.76,5.76,4.29,7.517e-05
E2283,3.06,6.27,3.16,7.43,9.8,3.43,1.99,6.88,0.34,0.00031839
E2284,3.94,4.57,7.82,7.44,2.39,6.95,2.53,8.93,4.11,0.0001723
E2285,4.76,7.28,7.44,4.83,4.48,5.54,2.9,2.74,1.54,9.46e-06
E2286,2.49,5.47,9.29,5.72,5.99,5.48,8.88,4.65,9.2,0.0003414
E2287,0.45,8.96,0.88,7.4,0.57,6.77,1.32,9.54,6.68,3.826e-05
E2288,8.14,3.47,7.49,4.72,3.66,0.76,8.77,5.03,2.42,0.00023376
E2289,9.23,0.1,4.52,5.87,8.14,7.95,1.6,0.76,2.6,0.00011401
E2290,6.25,6.82,8.95,2.22,6.42,7.34,5.97,1.66,0.26,0.00012956
E2291,4.64,5.94,4.17,0.49,7.01,9.35,7.51,8.77,9.25,0.00024712
E2292,8.85,5.36,9.08,2.58,6.79,5.09,0.86,5.54,1.79,4.96e-06
E2293,5.45,1.79,0.59,9.72,9.0,6.33,8.62,9.74,7.08,0.00030282
E2294,2.85,8.99,3.21,6.46,1.54,4.56,9.4,9.02,2.64,1.67e-06
E2295,9.23,1.81,1.92,4.11,8.6,7.14,7.69,1.54,2.31,0.00029188
E2296,5.79,2.65,6.15,5.57,5.81,7.61,4.5,9.24,8.24,8.768e-05
E2297,5.53,2.54,7.64,1.34,3.95,1.96,6.48,6.62,1.81,2.304e-05
E2298,3.13,4.64,4.74,5.84,6.35,4.9,3.07,2.37,5.52,0.0003715
E2299,6.53,2.82,2.33,3.9,7.71,3.17,5.91,3.54,3.2,0.00037141
E2300,1.3,7.94,1.53,5.67,1.97,1.37,8.87,1.77,6.91,0.0002921
E2301,8.37,7.61,4.64,7.92,9.23,1.53,9.28,2.95,9.33,0.00031168
E2302,8.3,0.55,8.6,0.17,2.35,6.35,5.69,2.76,6.4,4.605e-05
E2303,3.26,5.44,5.27,4.6,2.39,3.08,7.84,6.11,2.73,0.00037766
E2304,9.86,8.96,2.68,9.64,1.37,9.62,1.04,2.78,9.79,0.00022396
E2305,4.9,0.8,3.16,9.66,7.47,6.37,0.12,3.34,8.39,0.00035933
E2306,6.83,4.18,1.98,5.71,0.65,5.88,4.35,9.48,4.4,0.00038835
E2307,1.56,0.87,1.44,8.39,1.22,8.65,3.05,9.53,3.09,8.971e-05
E2308,0.56,6.08,9.03,0.95,1.36,4.41,6.86,3.11,6.74,6.611e-05
E2309,4.85,0.94,9.65,4.0,2.64,2.95,3.31,5.79,9.89,8.091e-05
E2310,4.62,0.74,3.06,4.95,2.83,4.91,6.85,3.96,2.78,4.443e-05
E2311,3.48,5.66,0.78,7.43,8.24,0.16,3.06,5.22,2.66,0.00023172
E2312,5.53,8.96,4.58,2.42,3.78,2.52,7.01,4.75,1.3,0.00014613
E2313,6.53,6.22,3.18,8.35,3.2,4.02,4.31,0.71,3.83,0.00021387
E2314,9.29,3.74,9.0,2.81,2.85,9.14,7.79,9.12,6.44,0.00010962
E2315,3.85,3.54,8.71,2.38,4.02,7.1,8.47,3.16,0.28,7.924e-05
E2316,9.37,0.59,8.06,9.39,6.17,5.07,8.04,6.12,4.16,0.00013857
E2317,8.55,3.0,2.13,7.54,8.99,4.28,5.62,0.23,6.01,7.766e-05
E2318,8.63,9.72,2.59,9.11,4.41,0.39,5.36,8.53,0.13,0.00015105
E2319,3.18,0.02,5.4,4.41,4.76,0.6,3.61,5.96,3.28,0.00010688
E2320,0.89,6.19,4.84,2.1,3.32,2.79,3.21,5.68,8.31,1.396e-05
E2321,4.16,9.95,0.5,4.62,5.15,8.78,0.33,0.32,3.39,0.00020849
E2322,8.0,2.43,6.24,8.14,7.98,4.53,9.98,6.26,8.3,0.00023547
E2323,5.87,0.49,4.9,4.29,2.12,5.14,8.93,6.95,2.23,1.464e-05
E2324,0.88,5.76,9.18,8.16,1.09,9.79,8.96,4.05,1.95,0.00025218
E2325,9.28,6.82,5.94,9.17,0.25,9.04,3.64,4.62,8.97,0.00022253
E2326,3.64,5.27,2.05,1.65,8.35,0.01,9.69,9.86,6.7,0.00010155
E2327,5.41,9.02,8.65,3.91,3.2,4.51,6.05,6.59,4.74,0.00020325
E2328,7.09,2.01,0.65,6.52,4.88,0.02,1.34,8.33,8.01,0.00014339
E2329,3.19,3.45,7.82,8.76,1.31,5.94,9.41,4.68,8.67,0.0002479
E2330,9.49,6.1,8.05,7.07,3.81,6.39,9.0,0.55,6.78,7.451e-05
E2331,4.36,2.58,0.32,1.22,4.71,4.17,0.89,3.45,5.52,4.875e-05
E2332,7.04,4.66,2.45,0.83,2.45,8.4,8.47,3.5,5.85,0.00016998
E2333,2.21,6.61,1.2,5.44,0.12,8.96,2.74,1.0,2.62,0.00016509
E2334,0.44,9.75,1.38,9.9,4.86,4.96,8.93,7.64,1.84,0.00021817
E2335,4.37,1.84,7.19,8.21,4.81,1.35,6.27,1.97,3.37,0.00010756
E2336,5.46,6.91,5.86,4.59,8.51,9.33,5.03,1.06,7.5,0.00024695
E2337,9.75,5.56,0.1,3.93,9.96,0.61,2.52,6.87,0.57,0.00022121
E2338,1.93,9.2,6.61,3.81,5.08,4.01,4.61,0.82,0.98,0.00021773
E2339,8.15,3.9,6.54,6.93,7.66,4.21,6.8,5.44,3.95,0.0001277
E2340,2.88,5.64,2.46,6.96,8.3,9.51,5.58,9.32,6.95,0.00024562
E2341,2.19,4.58,0.73,0.47,5.02,7.67,1.94,7.93,1.95,0.00016879
E2342,2.38,1.13,6.05,1.04,2.81,3.3,6.51,2.07,7.65,0.0002265
E2343,5.3,4.46,6.93,4.69,9.31,5.54,3.92,9.77,6.12,0.00017874
E2344,2.95,3.33,6.76,9.76,3.42,6.25,0.52,8.98,3.56,0.00023947
E2345,8.05,9.88,5.15,0.24,7.85,1.25,7.56,5.26,9.19,0.00020756
E2346,0.35,6.77,8.6,2.65,8.39,9.47,2.4,9.08,4.79,0.0003933
E2347,4.51,2.83,7.26,9.28,5.32,4.5,4.77,2.2,4.18,0.00033112
E2348,0.42,6.45,9.66,9.81,0.62,2.7,1.03,5.38,5.53,0.0002261
E2349,5.3,4.46,0.14,6.9,0.66,1.11,7.38,6.89,3.68,0.00039013
E2350,6.26,9.84,8.62,3.12,1.01,3.21,9.56,1.15,8.33,0.00038586
E2351,0.57,0.39,3.23,3.92,8.65,7.46,7.15,5.47,3.24,6.459e-05
E2352,1.95,1.43,6.7,7.69,1.21,6.55,9.78,2.29,1.44,1.836e-05
E2353,3.65,6.62,9.63,1.49,2.99,8.81,1.38,0.2,1.76,0.00014901
E2354,3.98,7.34,5.47,3.79,3.62,0.96,7.77,5.18,2.77,0.00039363
E2355,0.08,0.43,3.43,6.8,4.51,0.75,2.72,8.48,9.87,8.79e-05
E2356,4.53,1.89,4.8,0.67,9.67,7.04,9.99,3.21,2.31,0.00013808
E2357,0.84,9.4,6.86,5.62,4.57,9.55,0.6,6.44,2.57,0.00037783
E2358,8.94,7.5,6.89,1.76,2.66,0.6,6.26,1.38,8.04,0.00033034
E2359,6.57,2.31,2.43,0.16,2.86,5.58,2.61,2.83,0.28,0.00021961
E2360,5.14,8.71,8.84,2.05,4.66,7.92,4.67,9.67,6.02,0.00022425
E2361,1.23,6.91,4.74,1.97,4.74,7.75,4.95,8.95,5.52,0.00027401
E2362,1.55,0.29,8.4,1.22,5.68,7.68,8.34,2.28,8.45,0.00015578
E2363,7.24,1.26,4.71,0.07,6.49,2.44,5.6,4.41,4.37,0.000305
E2364,3.33,8.64,4.34,3.01,5.99,4.24,6.74,5.32,2.71,0.00037224
E2365,0.46,2.52,4.55,0.11,7.25,5.17,3.48,6.25,2.42,0.00014716
E2366,1.16,4.26,5.46,2.96,0.79,1.06,2.62,0.16,2.08,0.0001972
E2367,7.13,6.69,9.08,7.14,5.55,9.66,4.13,8.1,0.06,0.0001668
E2368,1.23,1.16,3.05,2.32,0.31,1.26,5.11,0.31,4.61,0.00028225
E2369,4.52,2.37,1.18,4.45,5.38,0.41,7.48,3.83,6.02,0.00035376
E2370,0.85,9.87,6.8,3.53,2.53,0.72,2.31,2.53,1.15,4.965e-05
E2371,2.8,2.75,0.99,2.61,9.85,0.62,0.46,9.64,3.94,0.00028697
E2372,8.25,3.23,5.97,3.87,7.77,3.84,9.66,7.64,1.82,0.00024475
E2373,4.83,5.64,9.69,8.8,5.2,3.22,4.86,6.39,0.06,0.00014612
E2374,6.07,7.12,0.8,3.11,7.8,7.64,3.38,8.22,3.64,0.0001643
E2375,1.43,8.87,5.12,5.75,5.1,7.61,2.85,3.05,7.86,6.375e-05
E2376,3.78,8.74,8.85,4.77,1.65,2.67,9.28,4.4,5.31,0.00034933
E2377,7.58,5.66,3.52,8.3,1.3,1.58,0.38,0.87,2.78,0.00039439
E2378,2.44,6.24,3.81,3.9,0.46,4.8,2.94,6.41,2.77,7.537e-05
E2379,1.5,6.26,9.95,3.88,4.54,3.41,1.89,2.62,1.69,0.00034459
E2380,9.11,3.75,1.33,4.82,5.41,6.97,0.95,9.27,6.8,0.00031238
E2381,0.92,4.21,1.78,1.84,8.61,3.24,6.19,0.9,3.73,0.00011429
E2382,9.41,6.72,8.91,3.27,4.56,1.7,3.09,4.13,1.2,5.497e-05
E2383,9.11,4.56,8.98,4.64,3.96,2.23,5.26,5.87,6.94,0.00010957
E2384,4.83,5.55,3.08,8.61,9.93,1.76,1.36,7.18,7.44,0.0003501
E2385,3.98,0.43,5.39,8.7,4.62,1.86,9.13,1.18,3.85,0.00015297
E2386,4.52,2.06,4.66,6.61,3.47,1.12,3.67,6.51,0.84,0.00019584
E2387,6.43,6.84,3.98,4.48,5.78,2.11,9.88,3.62,4.53,0.00014356
E2388,0.61,6.71,3.75,2.24,3.92,5.31,5.96,3.09,6.43,5.74e-06
E2389,7.68,0.45,6.08,0.18,6.51,3.72,2.16,2.65,4.08,6.402e-05
E2390,3.98,7.1,1.59,6.57,0.66,8.26,3.92,8.35,4.79,0.00020045
E2391,0.48,3.52,1.26,0.74,1.88,5.95,9.99,2.36,6.78,0.00026855
E2392,5.06,1.2,0.51,6.52,3.54,5.42,8.53,6.26,3.19,0.00019695
E2393,5.51,1.75,6.44,4.9,4.84,1.79,1.34,6.6,9.56,0.00038442
E2394,0.84,9.81,3.53,2.53,3.46,4.15,8.81,0.29,2.57,8.692e-05
E2395,0.98,7.04,2.95,5.41,7.53,7.94,1.36,3.49,5.28,0.00025723
E2396,5.06,9.65,1.14,3.32,9.69,7.47,3.91,7.2,1.47,0.0002967
E2397,0.88,5.25,5.93,4.59,7.8,4.98,7.77,4.91,3.85,0.00011235
E2398,4.39,0.08,4.34,3.14,2.27,8.09,1.52,0.22,8.66,0.00025482
E2399,0.2,8.1,3.15,4.38,0.25,3.22,2.7,6.06,7.08,0.00012456
E2400,3.03,5.78,6.17,6.32,7.21,3.03,2.07,5.16,5.68,0.00013644
E2401,6.97,3.21,6.3,3.52,3.01,0.89,4.41,0.17,7.89,0.00027963
E2402,0.46,6.31,8.77,1.28,0.97,5.47,7.37,2.68,7.11,4.059e-05
E2403,5.43,4.88,6.37,8.38,2.42,3.88,2.93,5.85,2.19,0.00028266
E2404,2.65,6.19,7.58,6.05,1.99,0.36,0.64,3.12,7.16,2.941e-05
E2405,8.28,0.42,7.71,8.38,4.53,7.64,4.25,1.48,2.32,0.00032353
E2406,5.97,2.01,1.64,4.84,2.15,4.91,9.05,9.05,3.41,8.075e-05
E2407,1.18,1.27,9.56,2.59,4.89,5.92,4.1,7.03,4.45,0.00011758
E2408,5.1,8.47,5.42,4.97,4.58,5.02,9.28,6.46,0.54,0.00030978
E2409,5.26,5.08,4.61,3.19,5.18,4.93,1.52,3.36,2.45,5.554e-05
E2410,6.45,6.06,1.23,4.02,7.12,9.35,2.91,5.09,1.94,3.179e-05
E2411,8.64,8.31,9.75,7.25,9.57,6.88,3.85,5.26,9.21,0.00032002
E2412,9.94,9.69,7.82,9.4,2.82,0.77,2.78,3.85,7.77,0.00014063
E2413,2.82,1.53,5.16,2.93,9.67,9.29,4.18,7.34,8.01,0.00030798
E2414,6.56,1.75,5.09,6.86,9.09,7.26,9.47,8.64,4.72,0.00019766
E2415,1.14,4.32,3.01,8.17,1.56,2.65,4.94,7.34,0.18,0.0002911
E2416,6.49,6.49,2.1,4.51,0.58,2.34,2.96,1.58,3.95,0.00011838
E2417,0.77,7.49,8.13,4.59,2.6,8.8,4.08,4.52,1.24,0.00033054
E2418,6.53,0.43,1.41,8.44,9.5,7.8,9.54,3.17,2.95,0.00013139
E2419,9.5,7.87,2.54,0.2,6.36,7.07,5.82,1.44,0.53,0.00034674
E2420,2.17,6.57,8.42,7.35,7.8,5.9,0.92,3.55,3.68,0.00027719
E2421,2.67,3.26,9.87,0.91,2.81,3.91,3.18,9.52,8.4,1.17e-06
E2422,3.19,1.04,3.93,9.8,7.71,8.26,7.25,2.49,9.7,0.0002581
E2423,6.76,1.38,3.17,8.44,6.17,8.35,1.46,9.68,3.4,0.00021049
E2424,3.95,4.94,5.39,7.75,7.85,9.2,7.36,1.88,4.46,0.00033806
E2425,0.4,9.1,2.14,7.8,2.16,3.74,3.39,4.08,8.67,8.365e-05
E2426,6.37,2.93,4.02,9.04,7.26,1.97,1.87,2.54,0.72,9.152e-05
E2427,2.82,4.31,3.53,8.03,1.77,3.12,7.67,2.11,1.14,0.00023483
E2428,1.11,0.8,8.02,2.39,6.0,3.17,0.73,8.34,4.72,0.00016082
E2429,8.82,4.31,5.79,6.99,2.37,3.99,9.9,1.03,8.52,9.957e-05
E2430,8.56,7.04,5.73,4.52,3.92,9.93,3.65,5.9,3.22,0.00027917
E2431,1.6,5.9,0.81,9.59,6.66,2.44,6.3,6.23,5.33,0.00038312
E2432,2.43,8.18,9.52,3.92,5.54,2.05,9.16,3.67,8.53,0.00017195
E2433,7.02,8.88,8.05,7.11,3.77,8.56,6.8,0.24,7.93,3.154e-05
E2434,4.18,9.2,5.02,8.96,9.49,3.68,7.54,8.13,1.32,0.00018377
E2435,7.22,9.55,9.69,1.63,8.46,5.4,2.6,2.39,6.2,0.00014146
E2436,3.31,3.83,7.34,5.63,8.39,0.76,1.52,4.82,7.84,0.00025947
E2437,9.55,7.53,3.79,7.88,4.17,7.91,3.45,1.64,9.22,3.603e-05
E2438,0.9,0.55,0.98,0.37,0.09,8.57,6.84,0.13,8.69,0.00018284
E2439,6.0,1.51,8.47,7.94,5.61,8.39,1.28,3.85,4.82,7.694e-05
E2440,0.32,5.21,7.48,8.9,8.35,5.52,1.56,9.31,4.99,0.00035746
E2441,9.99,5.89,2.73,8.97,1.55,4.45,9.24,7.59,0.47,0.00029251
E2442,3.99,4.87,4.02,3.64,0.25,7.8,1.03,0.02,3.16,9.519e-05
E2443,7.15,1.16,4.1,5.14,1.75,4.69,1.48,8.26,9.49,0.00018125
E2444,1.5,0.45,5.05,2.14,1.17,9.46,1.23,4.73,0.36,0.00012724
E2445,5.32,7.96,2.64,2.29,3.94,5.06,9.03,6.9,3.58,0.00022905
E2446,1.88,4.47,0.35,1.79,6.19,0.78,1.41,4.69,9.07,0.00033141
E2447,0.4,7.58,3.77,2.21,3.93,7.71,8.21,1.92,9.84,0.00022469
E2448,5.42,1.21,2.46,4.73,8.88,5.32,6.45,6.02,1.92,0.00033895
E2449,6.27,3.48,0.31,3.01,9.9,5.26,1.12,1.52,3.0,0.0002814
E2450,4.76,6.39,1.61,0.43,3.23,2.67,0.18,0.49,7.79,0.00020621
E2451,3.65,5.85,1.21,6.69,9.55,1.29,5.95,6.28,7.22,0.00024414
E2452,3.88,0.65,4.89,9.68,4.49,0.08,2.75,6.31,1.45,0.0003277
E2453,9.91,9.39,8.38,2.41,7.58,6.03,6.64,6.49,3.6,0.000364
E2454,3.07,1.97,1.17,8.02,6.62,2.26,0.15,2.21,7.08,0.00014817
E2455,7.08,3.91,8.29,9.37,4.1,6.56,5.52,3.42,9.9,0.00032508
E2456,2.47,1.67,5.71,4.13,7.15,8.29,4.26,5.18,3.39,8.387e-05
E2457,7.52,7.6,0.26,1.66,2.34,4.3,3.97,4.93,2.46,0.00021179
E2458,7.49,4.11,3.15,7.72,3.23,2.51,3.24,9.41,9.35,0.00022882
E2459,1.74,9.56,9.7,9.16,7.55,8.66,2.35,0.0,3.28,0.00013446
E2460,3.45,3.61,4.27,2.82,0.08,7.66,2.12,4.34,0.12,0.000319
E2461,8.89,9.99,0.43,0.13,7.55,1.62,0.73,8.94,4.74,0.00036175
E2462,4.86,7.08,3.6,1.79,5.82,3.66,3.4,8.98,7.11,2.537e-05
E2463,5.4,0.33,3.5,2.39,8.51,8.24,2.45,6.21,7.39,0.0001397
E2464,5.96,9.1,4.46,0.54,4.28,6.17,3.95,7.83,0.05,5.076e-05
E2465,0.36,7.57,2.8,7.61,4.44,8.39,8.53,2.92,4.99,6.174e-05
E2466,5.87,0.15,6.89,9.9,9.74,4.81,1.31,4.31,6.27,0.00019643
E2467,5.66,7.59,0.38,3.13,4.47,2.68,6.55,4.11,6.52,0.00031379
E2468,2.16,5.39,9.47,3.78,8.48,3.46,9.59,0.07,5.37,3.167e-05
E2469,5.0,0.35,2.33,5.55,2.93,6.94,2.58,9.23,2.5,0.00027352
E2470,0.92,9.6,7.43,3.22,7.23,1.33,3.75,6.08,4.26,0.00027698
E2471,0.94,2.55,6.48,1.34,3.53,4.97,2.82,5.32,9.92,3.989e-05
E2472,5.95,3.47,6.09,8.2,1.33,4.25,0.99,8.89,2.7,0.00030648
E2473,9.4,6.91,1.02,2.25,7.8,0.21,5.06,9.78,7.94,0.00022481
E2474,4.94,5.41,5.43,9.34,1.37,2.45,4.08,0.76,7.04,0.00020201
E2475,1.51,9.41,3.91,4.98,8.85,4.39,2.09,2.31,9.53,6.326e-05
E2476,6.75,7.15,9.49,6.97,5.61,0.1,0.4,8.09,8.47,0.00021303
E2477,5.05,2.62,7.95,7.98,3.26,1.14,0.24,0.22,4.32,0.00011761
E2478,6.76,9.62,9.01,9.44,7.03,2.61,6.44,2.02,7.98,0.00011667
E2479,6.14,7.28,0.51,8.07,1.85,2.82,5.52,7.83,0.97,3.774e-05
E2480,9.74,6.23,6.64,2.87,0.99,7.83,5.97,3.55,0.41,0.00013607
E2481,5.66,1.3,7.17,5.16,2.55,7.41,5.59,1.79,1.12,0.00017773
E2482,9.4,4.98,2.69,4.27,8.19,0.17,0.54,1.07,4.47,0.00022522
E2483,7.8,7.4,5.8,1.54,0.32,2.2,5.22,3.16,1.62,0.00013734
E2484,9.07,2.28,4.97,4.75,0.75,9.87,7.71,6.25,4.42,0.00025199
E2485,9.44,6.44,5.27,3.13,0.69,0.46,4.18,4.94,1.8,0.00035452
E2486,0.19,1.97,8.64,6.82,0.14,0.16,3.13,7.9,3.47,0.00010415
E2487,1.75,9.68,0.07,9.36,4.28,4.31,8.01,1.92,1.46,0.00039241
E2488,4.53,1.26,3.33,0.14,9.45,0.54,9.51,7.74,9.07,6.348e-05
E2489,0.85,9.23,7.68,9.97,4.62,0.2,2.9,6.38,2.26,0.0001814
E2490,2.36,6.23,2.24,3.61,0.42,4.49,6.14,4.88,7.89,0.00031431
E2491,7.35,7.11,3.81,7.03,7.45,0.5,6.71,2.22,9.69,0.00024528
E2492,7.56,3.46,7.78,1.9,8.95,2.11,0.7,8.02,4.94,2.398e-05
E2493,9.24,2.43,4.51,8.11,8.27,2.12,8.14,2.71,1.03,0.00037351
E2494,4.14,0.86,5.68,7.19,1.8,5.43,6.24,6.9,6.26,7.666e-05
E2495,9.6,8.1,6.5,9.04,2.27,8.01,7.23,0.57,3.34,0.00010387
E2496,8.97,5.9,7.7,4.9,4.18,5.02,3.1,3.89,6.44,0.00025904
E2497,3.38,3.55,1.14,7.21,7.69,0.93,2.18,6.57,5.49,0.00033581
E2498,0.11,5.85,0.1,7.22,0.7,0.84,8.67,3.9,9.78,7.005e-05
E2499,5.95,2.17,0.46,3.89,0.48,8.2,9.12,4.15,6.83,9.516e-05
E2500,0.89,6.14,5.34,6.99,6.58,1.32,4.52,7.82,7.94,0.00017844
E2501,4.71,8.35,3.3,5.42,2.28,6.78,6.74,7.03,5.91,0.00010389
E2502,9.23,4.47,4.57,4.73,1.53,6.25,8.54,4.43,9.67,4.5e-07
E2503,4.46,2.56,2.26,7.94,1.25,1.25,4.41,4.82,9.26,0.00024943
E2504,9.41,6.42,2.74,5.63,4.0,6.97,3.69,5.92,8.55,0.00039482
E2505,5.65,7.27,2.64,7.34,4.03,8.89,4.9,4.81,7.57,0.0001278
E2506,7.78,1.63,5.38,7.82,7.61,2.16,3.82,8.23,7.37,0.00027613
E2507,4.64,3.46,7.39,4.94,3.01,5.72,5.61,5.07,7.49,0.00029113
E2508,7.03,3.56,0.32,6.32,7.02,4.63,1.49,0.06,0.36,0.00030563
E2509,1.67,1.54,0.25,0.83,6.56,7.67,9.36,4.49,7.7,0.00015988
E2510,8.94,0.05,1.21,5.19,4.21,6.54,0.72,7.03,2.1,6.162e-05
E2511,0.22,3.29,3.61,9.91,8.08,1.56,0.72,1.26,0.19,0.00027042
E2512,7.7,8.47,5.22,6.72,4.85,0.43,8.16,1.02,9.57,0.00013075
E2513,3.22,2.93,1.19,1.24,5.86,5.49,7.11,4.01,3.93,0.0003609
E2514,9.71,3.96,3.54,0.74,0.61,2.27,6.55,2.31,4.45,0.00038825
